candidate_id,file_name,file_type,raw_text,cleaned_text,candidate_name,current_position,years_of_experience,education,gpa,technical_skills,soft_skills,programming_languages,frameworks,libraries,databases,cloud_platforms,devops_tools,operating_systems,testing_tools,certifications,projects,work_experience,achievements,industries,domains,spoken_languages,keywords
R2094,R2094.docx,docx,"Resume R2094
Resume Id
R2094
Resume Text
Professional
Resume Skills
PyTorch, Flask, Cloud Computing, TensorFlow, SQL, Excel
Experience Years
0
Education Level
Masters
Projects
- Developed a web application using Flask and React
Job Role
Frontend Developer
Cleaned Text
professional",resume r2094 resume id r2094 resume text professional resume skill pytorch flask cloud computing tensorflow sql excel experience year education level master project developed web application using flask react job role frontend developer cleaned text professional,Experience Years,,0,[],,"['Flask', 'PyTorch', 'React', 'SQL', 'TensorFlow']",[],['SQL'],"['Flask', 'React']","['PyTorch', 'TensorFlow']",[],[],[],[],[],[],"[{'project_name': 'Developed a web application using Flask and React', 'role': None, 'technologies': ['Flask', 'React'], 'description': 'Job Role Frontend Developer Cleaned Text professional'}]",[],[],['Education'],[],[],"['Flask', 'PyTorch', 'React', 'SQL', 'TensorFlow']"
R924,R924.docx,docx,"Resume R924
Resume Id
R924
Resume Text
Professional
Resume Skills
Django, C++, React, Python, Docker, Node.js, Flask
Experience Years
2
Education Level
Masters
Projects
- Implemented deep learning models using TensorFlow
- Designed scalable backend systems using Node.js
- Developed a web application using Flask and React
Job Role
ML Engineer
Cleaned Text
professional",resume r924 resume id r924 resume text professional resume skill django c++ react python docker node.js flask experience year education level master project implemented deep learning model using tensorflow designed scalable backend system using node.js developed web application using flask react job role ml engineer cleaned text professional,Experience Years,,2,[],,"['C', 'C++', 'Deep Learning', 'Django', 'Docker', 'Flask', 'JavaScript', 'Machine Learning', 'Node.js', 'Python', 'React', 'TensorFlow']",[],"['C', 'C++', 'JavaScript', 'Python']","['Django', 'Flask', 'Node.js', 'React']",['TensorFlow'],[],[],['Docker'],[],[],[],"[{'project_name': 'Implemented deep learning models using TensorFlow', 'role': None, 'technologies': ['Deep Learning', 'Flask', 'JavaScript', 'Machine Learning', 'Node.js', 'React', 'TensorFlow'], 'description': 'Designed scalable backend systems using Node.js Developed a web application using Flask and React Job Role ML Engineer Cleaned Text professional'}]",[],[],['Education'],[],[],"['C', 'C++', 'Deep Learning', 'Django', 'Docker', 'Flask', 'JavaScript', 'Machine Learning', 'Node.js', 'Python', 'React', 'TensorFlow']"
R4273,R4273.docx,docx,"Resume R4273
Resume Id
R4273
Resume Text
Professional
Resume Skills
React, Cloud Computing, Data Analysis, Java, Django
Experience Years
9
Education Level
Bachelors
Projects
- Designed scalable backend systems using Node.js
- Created interactive dashboards using Power BI
Job Role
Data Scientist
Cleaned Text
professional",resume r4273 resume id r4273 resume text professional resume skill react cloud computing data analysis java django experience year education level bachelor project designed scalable backend system using node.js created interactive dashboard using power bi job role data scientist cleaned text professional,Experience Years,,9,[],,"['Django', 'Java', 'JavaScript', 'Node.js', 'React']",[],"['Java', 'JavaScript']","['Django', 'Node.js', 'React']",[],[],[],[],[],[],[],"[{'project_name': 'Designed scalable backend systems using Node.js', 'role': None, 'technologies': ['JavaScript', 'Node.js'], 'description': 'Created interactive dashboards using Power BI Job Role Data Scientist Cleaned Text professional'}]",[],[],['Education'],['Data Science'],[],"['Data Science', 'Django', 'Java', 'JavaScript', 'Node.js', 'React']"
R1035,R1035.docx,docx,"Resume R1035
Resume Id
R1035
Resume Text
Professional
Resume Skills
Excel, React, Power BI, TensorFlow, Cloud Computing, Docker
Experience Years
0
Education Level
Bachelors
Projects
- Implemented deep learning models using TensorFlow
Job Role
Data Scientist
Cleaned Text
professional",resume r1035 resume id r1035 resume text professional resume skill excel react power bi tensorflow cloud computing docker experience year education level bachelor project implemented deep learning model using tensorflow job role data scientist cleaned text professional,Experience Years,,0,[],,"['Deep Learning', 'Docker', 'React', 'TensorFlow']",[],[],['React'],['TensorFlow'],[],[],['Docker'],[],[],[],"[{'project_name': 'Implemented deep learning models using TensorFlow', 'role': None, 'technologies': ['Deep Learning', 'TensorFlow'], 'description': 'Job Role Data Scientist Cleaned Text professional'}]",[],[],['Education'],['Data Science'],[],"['Data Science', 'Deep Learning', 'Docker', 'React', 'TensorFlow']"
R2236,R2236.docx,docx,"Resume R2236
Resume Id
R2236
Resume Text
Professional
Resume Skills
NLP, TensorFlow, PyTorch, Excel, Cloud Computing, Machine Learning, Node.js
Experience Years
0
Education Level
PhD
Projects
- Implemented deep learning models using TensorFlow
- Built a machine learning model for predicting customer churn
- Created interactive dashboards using Power BI
Job Role
Backend Developer
Cleaned Text
professional",resume r2236 resume id r2236 resume text professional resume skill nlp tensorflow pytorch excel cloud computing machine learning node.js experience year education level phd project implemented deep learning model using tensorflow built machine learning model predicting customer churn created interactive dashboard using power bi job role backend developer cleaned text professional,Experience Years,,0,[],,"['Deep Learning', 'JavaScript', 'Machine Learning', 'Node.js', 'PyTorch', 'TensorFlow']",[],['JavaScript'],['Node.js'],"['PyTorch', 'TensorFlow']",[],[],[],[],[],[],"[{'project_name': 'Implemented deep learning models using TensorFlow', 'role': None, 'technologies': ['Deep Learning', 'Machine Learning', 'TensorFlow'], 'description': 'Built a machine learning model for predicting customer churn Created interactive dashboards using Power BI Job Role Backend Developer Cleaned Text professional'}]",[],[],['Education'],[],[],"['Deep Learning', 'JavaScript', 'Machine Learning', 'Node.js', 'PyTorch', 'TensorFlow']"
R323,R323.docx,docx,"Resume R323
Resume Id
R323
Resume Text
Professional
Resume Skills
Machine Learning, React, PyTorch, Data Analysis, NLP, Power BI, Excel
Experience Years
10
Education Level
Masters
Projects
- Designed scalable backend systems using Node.js
Job Role
Frontend Developer
Cleaned Text
professional",resume r323 resume id r323 resume text professional resume skill machine learning react pytorch data analysis nlp power bi excel experience year 10 education level master project designed scalable backend system using node.js job role frontend developer cleaned text professional,Experience Years,,10,[],,"['JavaScript', 'Machine Learning', 'Node.js', 'PyTorch', 'React']",[],['JavaScript'],"['Node.js', 'React']",['PyTorch'],[],[],[],[],[],[],"[{'project_name': 'Designed scalable backend systems using Node.js', 'role': None, 'technologies': ['JavaScript', 'Node.js'], 'description': 'Job Role Frontend Developer Cleaned Text professional'}]",[],[],['Education'],[],[],"['JavaScript', 'Machine Learning', 'Node.js', 'PyTorch', 'React']"
R5991,R5991.docx,docx,"Resume R5991
Resume Id
R5991
Resume Text
Professional
Resume Skills
TensorFlow, Python, PyTorch, Excel, Django, Cloud Computing, NLP
Experience Years
6
Education Level
Bachelors
Projects
- Built a machine learning model for predicting customer churn
- Designed scalable backend systems using Node.js
- Implemented deep learning models using TensorFlow
Job Role
Data Scientist
Cleaned Text
professional",resume r5991 resume id r5991 resume text professional resume skill tensorflow python pytorch excel django cloud computing nlp experience year education level bachelor project built machine learning model predicting customer churn designed scalable backend system using node.js implemented deep learning model using tensorflow job role data scientist cleaned text professional,Experience Years,,6,[],,"['Deep Learning', 'Django', 'JavaScript', 'Machine Learning', 'Node.js', 'Python', 'PyTorch', 'TensorFlow']",[],"['JavaScript', 'Python']","['Django', 'Node.js']","['PyTorch', 'TensorFlow']",[],[],[],[],[],[],"[{'project_name': 'Built a machine learning model for predicting customer churn', 'role': None, 'technologies': ['Deep Learning', 'JavaScript', 'Machine Learning', 'Node.js', 'TensorFlow'], 'description': 'Designed scalable backend systems using Node.js Implemented deep learning models using TensorFlow Job Role Data Scientist Cleaned Text professional'}]",[],[],['Education'],['Data Science'],[],"['Data Science', 'Deep Learning', 'Django', 'JavaScript', 'Machine Learning', 'Node.js', 'Python', 'PyTorch', 'TensorFlow']"
R4158,R4158.docx,docx,"Resume R4158
Resume Id
R4158
Resume Text
Professional
Resume Skills
Excel, Kubernetes, NLP, PyTorch
Experience Years
7
Education Level
Bachelors
Projects
- Built a machine learning model for predicting customer churn
Job Role
ML Engineer
Cleaned Text
professional",resume r4158 resume id r4158 resume text professional resume skill excel kubernetes nlp pytorch experience year education level bachelor project built machine learning model predicting customer churn job role ml engineer cleaned text professional,Experience Years,,7,[],,"['Kubernetes', 'Machine Learning', 'PyTorch']",[],[],[],['PyTorch'],[],[],['Kubernetes'],[],[],[],"[{'project_name': 'Built a machine learning model for predicting customer churn', 'role': None, 'technologies': ['Machine Learning'], 'description': 'Job Role ML Engineer Cleaned Text professional'}]",[],[],['Education'],[],[],"['Kubernetes', 'Machine Learning', 'PyTorch']"
R5889,R5889.docx,docx,"Resume R5889
Resume Id
R5889
Resume Text
Professional
Resume Skills
Node.js, Java, Excel, NLP, Data Analysis
Experience Years
3
Education Level
Masters
Projects
- Built a machine learning model for predicting customer churn
- Created interactive dashboards using Power BI
- Designed scalable backend systems using Node.js
Job Role
ML Engineer
Cleaned Text
professional",resume r5889 resume id r5889 resume text professional resume skill node.js java excel nlp data analysis experience year education level master project built machine learning model predicting customer churn created interactive dashboard using power bi designed scalable backend system using node.js job role ml engineer cleaned text professional,Experience Years,,3,[],,"['Java', 'JavaScript', 'Machine Learning', 'Node.js']",[],"['Java', 'JavaScript']",['Node.js'],[],[],[],[],[],[],[],"[{'project_name': 'Built a machine learning model for predicting customer churn', 'role': None, 'technologies': ['JavaScript', 'Machine Learning', 'Node.js'], 'description': 'Created interactive dashboards using Power BI Designed scalable backend systems using Node.js Job Role ML Engineer Cleaned Text professional'}]",[],[],['Education'],[],[],"['Java', 'JavaScript', 'Machine Learning', 'Node.js']"
R754,R754.docx,docx,"Resume R754
Resume Id
R754
Resume Text
Professional
Resume Skills
Python, NLP, Docker, Java, Excel, SQL
Experience Years
10
Education Level
Masters
Projects
- Built a machine learning model for predicting customer churn
Job Role
Software Engineer
Cleaned Text
professional",resume r754 resume id r754 resume text professional resume skill python nlp docker java excel sql experience year 10 education level master project built machine learning model predicting customer churn job role software engineer cleaned text professional,Experience Years,,10,[],,"['Docker', 'Java', 'Machine Learning', 'Python', 'SQL']",[],"['Java', 'Python', 'SQL']",[],[],[],[],['Docker'],[],[],[],"[{'project_name': 'Built a machine learning model for predicting customer churn', 'role': None, 'technologies': ['Machine Learning'], 'description': 'Job Role Software Engineer Cleaned Text professional'}]",[],[],['Education'],[],[],"['Docker', 'Java', 'Machine Learning', 'Python', 'SQL']"
R3823,R3823.docx,docx,"Resume R3823
Resume Id
R3823
Resume Text
Professional
Resume Skills
SQL, Power BI, Django, NLP, Excel
Experience Years
2
Education Level
PhD
Projects
- Developed a web application using Flask and React
Job Role
Data Scientist
Cleaned Text
professional",resume r3823 resume id r3823 resume text professional resume skill sql power bi django nlp excel experience year education level phd project developed web application using flask react job role data scientist cleaned text professional,Experience Years,,2,[],,"['Django', 'Flask', 'React', 'SQL']",[],['SQL'],"['Django', 'Flask', 'React']",[],[],[],[],[],[],[],"[{'project_name': 'Developed a web application using Flask and React', 'role': None, 'technologies': ['Flask', 'React'], 'description': 'Job Role Data Scientist Cleaned Text professional'}]",[],[],['Education'],['Data Science'],[],"['Data Science', 'Django', 'Flask', 'React', 'SQL']"
R3657,R3657.docx,docx,"Resume R3657
Resume Id
R3657
Resume Text
Professional
Resume Skills
React, PyTorch, Node.js, Power BI, Python
Experience Years
4
Education Level
PhD
Projects
- Built a machine learning model for predicting customer churn
Job Role
Software Engineer
Cleaned Text
professional",resume r3657 resume id r3657 resume text professional resume skill react pytorch node.js power bi python experience year education level phd project built machine learning model predicting customer churn job role software engineer cleaned text professional,Experience Years,,4,[],,"['JavaScript', 'Machine Learning', 'Node.js', 'Python', 'PyTorch', 'React']",[],"['JavaScript', 'Python']","['Node.js', 'React']",['PyTorch'],[],[],[],[],[],[],"[{'project_name': 'Built a machine learning model for predicting customer churn', 'role': None, 'technologies': ['Machine Learning'], 'description': 'Job Role Software Engineer Cleaned Text professional'}]",[],[],['Education'],[],[],"['JavaScript', 'Machine Learning', 'Node.js', 'Python', 'PyTorch', 'React']"
R4850,R4850.docx,docx,"Resume R4850
Resume Id
R4850
Resume Text
Professional
Resume Skills
Flask, Node.js, Python, PyTorch, Machine Learning, Power BI, Data Analysis, Kubernetes
Experience Years
1
Education Level
PhD
Projects
- Created interactive dashboards using Power BI
- Built a machine learning model for predicting customer churn
Job Role
Software Engineer
Cleaned Text
professional",resume r4850 resume id r4850 resume text professional resume skill flask node.js python pytorch machine learning power bi data analysis kubernetes experience year education level phd project created interactive dashboard using power bi built machine learning model predicting customer churn job role software engineer cleaned text professional,Experience Years,,1,[],,"['Flask', 'JavaScript', 'Kubernetes', 'Machine Learning', 'Node.js', 'Python', 'PyTorch']",[],"['JavaScript', 'Python']","['Flask', 'Node.js']",['PyTorch'],[],[],['Kubernetes'],[],[],[],"[{'project_name': 'Created interactive dashboards using Power BI', 'role': None, 'technologies': ['Machine Learning'], 'description': 'Built a machine learning model for predicting customer churn Job Role Software Engineer Cleaned Text professional'}]",[],[],['Education'],[],[],"['Flask', 'JavaScript', 'Kubernetes', 'Machine Learning', 'Node.js', 'Python', 'PyTorch']"
R4847,R4847.docx,docx,"Resume R4847
Resume Id
R4847
Resume Text
Professional
Resume Skills
React, TensorFlow, Power BI, NLP, Excel, Cloud Computing
Experience Years
9
Education Level
Bachelors
Projects
- Implemented deep learning models using TensorFlow
- Built a machine learning model for predicting customer churn
Job Role
Data Scientist
Cleaned Text
professional",resume r4847 resume id r4847 resume text professional resume skill react tensorflow power bi nlp excel cloud computing experience year education level bachelor project implemented deep learning model using tensorflow built machine learning model predicting customer churn job role data scientist cleaned text professional,Experience Years,,9,[],,"['Deep Learning', 'Machine Learning', 'React', 'TensorFlow']",[],[],['React'],['TensorFlow'],[],[],[],[],[],[],"[{'project_name': 'Implemented deep learning models using TensorFlow', 'role': None, 'technologies': ['Deep Learning', 'Machine Learning', 'TensorFlow'], 'description': 'Built a machine learning model for predicting customer churn Job Role Data Scientist Cleaned Text professional'}]",[],[],['Education'],['Data Science'],[],"['Data Science', 'Deep Learning', 'Machine Learning', 'React', 'TensorFlow']"
R1780,R1780.docx,docx,"Resume R1780
Resume Id
R1780
Resume Text
Professional
Resume Skills
SQL, C++, PyTorch, Excel, Flask, Deep Learning, Node.js, Django
Experience Years
6
Education Level
Bachelors
Projects
- Implemented deep learning models using TensorFlow
- Developed a web application using Flask and React
- Designed scalable backend systems using Node.js
Job Role
Data Analyst
Cleaned Text
professional",resume r1780 resume id r1780 resume text professional resume skill sql c++ pytorch excel flask deep learning node.js django experience year education level bachelor project implemented deep learning model using tensorflow developed web application using flask react designed scalable backend system using node.js job role data analyst cleaned text professional,Experience Years,,6,[],,"['C', 'C++', 'Deep Learning', 'Django', 'Flask', 'JavaScript', 'Node.js', 'PyTorch', 'React', 'SQL', 'TensorFlow']",[],"['C', 'C++', 'JavaScript', 'SQL']","['Django', 'Flask', 'Node.js', 'React']","['PyTorch', 'TensorFlow']",[],[],[],[],[],[],"[{'project_name': 'Implemented deep learning models using TensorFlow', 'role': None, 'technologies': ['Deep Learning', 'Flask', 'JavaScript', 'Node.js', 'React', 'TensorFlow'], 'description': 'Developed a web application using Flask and React Designed scalable backend systems using Node.js Job Role Data Analyst Cleaned Text professional'}]",[],[],['Education'],[],[],"['C', 'C++', 'Deep Learning', 'Django', 'Flask', 'JavaScript', 'Node.js', 'PyTorch', 'React', 'SQL', 'TensorFlow']"
R5895,R5895.docx,docx,"Resume R5895
Resume Id
R5895
Resume Text
Professional
Resume Skills
Python, Node.js, SQL
Experience Years
4
Education Level
PhD
Projects
- Developed a web application using Flask and React
- Implemented deep learning models using TensorFlow
Job Role
Frontend Developer
Cleaned Text
professional",resume r5895 resume id r5895 resume text professional resume skill python node.js sql experience year education level phd project developed web application using flask react implemented deep learning model using tensorflow job role frontend developer cleaned text professional,Experience Years,,4,[],,"['Deep Learning', 'Flask', 'JavaScript', 'Node.js', 'Python', 'React', 'SQL', 'TensorFlow']",[],"['JavaScript', 'Python', 'SQL']","['Flask', 'Node.js', 'React']",['TensorFlow'],[],[],[],[],[],[],"[{'project_name': 'Developed a web application using Flask and React', 'role': None, 'technologies': ['Deep Learning', 'Flask', 'React', 'TensorFlow'], 'description': 'Implemented deep learning models using TensorFlow Job Role Frontend Developer Cleaned Text professional'}]",[],[],['Education'],[],[],"['Deep Learning', 'Flask', 'JavaScript', 'Node.js', 'Python', 'React', 'SQL', 'TensorFlow']"
